"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","on_base_percent","p_era","p_total_stolen_base","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","xba","woba","xwoba","xobp"
"Skubal, Tarik","669373","2023","310",32.9,4.5,".199",".242","2.80","4","0","3","0",".197",".238",".236",".242"
"Mlodzinski, Carmen","669387","2023","152",22.4,11.8,".214",".309","2.25","3","0","7","0",".241",".279",".307",".334"
"Lambert, Jimmy","669424","2023","172",23.8,11.6,".273",".363","5.26","5","0","7","1",".275",".385",".362",".364"
"Englert, Mason","669438","2023","253",16.2,6.7,".291",".343","5.46","7","0","6","0",".310",".368",".383",".362"
"Bieber, Shane","669456","2023","533",20.1,6.4,".253",".303","3.80","11","2","30","0",".284",".307",".336",".332"
"Nelson, Kyle","669459","2023","239",28,5.9,".267",".314","4.18","1","0","2","0",".233",".339",".299",".282"
"Liberatore, Matthew","669461","2023","275",16.7,9.1,".274",".349","5.25","6","1","8","0",".289",".341",".369",".367"
"Pallante, Andre","669467","2023","302",14.2,9.9,".286",".362","4.76","15","0","11","0",".260",".341",".314",".340"
"Long, Sam","669674","2023","199",16.1,10.6,".282",".359","5.60","0","2","9","0",".278",".341",".339",".356"
"Murphy, Chris","669684","2023","212",23.1,8,".263",".324","4.91","3","0","5","0",".235",".321",".295",".301"
"Wesneski, Hayden","669713","2023","379",21.9,8.4,".242",".311","4.63","2","0","15","0",".265",".330",".348",".334"
"Hernandez, Jose","669796","2023","223",27.8,9.9,".239",".317","4.97","7","0","10","0",".236",".329",".313",".315"
"Blanco, Ronel","669854","2023","226",23,12.4,".251",".350","4.50","2","0","8","0",".245",".352",".345",".345"
"Kirby, George","669923","2023","757",22.7,2.5,".246",".270","3.35","17","0","20","0",".262",".284",".305",".286"
"Scholtens, Jesse","669947","2023","377",15.4,8,".292",".350","5.29","7","0","26","0",".273",".349",".339",".334"
"Rosenberg, Kenny","670046","2023","146",19.9,9.6,".267",".342","3.82","3","3","18","0",".230",".321",".293",".309"
"Holderman, Colin","670059","2023","240",24.2,8.3,".256",".322","3.86","6","0","3","0",".234",".299",".294",".305"
"Francis, Bowden","670102","2023","136",25.7,5.9,".175",".228","1.73","1","0","4","0",".221",".238",".297",".276"
"Oller, Adam","670124","2023","101",12.9,11.9,".341",".416","10.07","0","0","7","0",".318",".417",".411",".402"
"Schreiber, John","670167","2023","204",26,12.3,".237",".343","3.86","0","0","4","0",".224",".324",".313",".336"
"Winckowski, Josh","670174","2023","367",22.3,8.4,".267",".335","2.88","2","0","6","1",".245",".319",".302",".315"
"Bednar, David","670280","2023","277",28.9,7.6,".215",".281","2.00","1","0","3","0",".196",".259",".262",".269"
"Oviedo, Johan","670912","2023","781",20.2,10.6,".237",".330","4.31","9","0","21","0",".249",".319",".329",".342"
"Richards, Trevor","670950","2023","315",33.3,11.1,".228",".317","4.95","2","0","21","0",".201",".318",".292",".297"
"Ramirez, Yohan","670990","2023","176",19.9,9.7,".265",".381","4.23","7","0","5","0",".238",".335",".317",".358"
"Abbott, Andrew","671096","2023","459",26.1,9.6,".244",".316","3.87","7","2","61","0",".227",".320",".306",".303"
"Allen, Logan","671106","2023","537",22.2,8.9,".263",".330","3.81","0","1","16","0",".257",".326",".323",".325"
"Foley, Jason","671345","2023","276",19.9,5.4,".251",".293","2.61","3","0","8","0",".263",".275",".299",".306"
"Bradley, Taj","671737","2023","460",28,8.5,".255",".317","5.59","0","0","0","0",".244",".344",".324",".311"
"Detmers, Reid","672282","2023","644",26.1,9.3,".248",".332","4.48","15","2","40","0",".253",".321",".327",".340"
"Pérez, Cionel","672335","2023","247",17.8,10.9,".264",".357","3.54","11","0","9","0",".242",".311",".301",".339"
"Ort, Kaleb","672391","2023","107",22.4,8.4,".290",".356","6.26","4","1","1","0",".239",".379",".330",".310"
"Hernández, Carlos","672578","2023","301",25.6,10.6,".233",".316","5.27","3","0","10","0",".252",".319",".332",".333"
"Zerpa, Angel","672582","2023","182",19.8,4.4,".272",".319","4.85","1","2","12","1",".263",".335",".321",".311"
"Contreras, Roansy","672710","2023","302",18.2,10.6,".282",".360","6.59","13","1","11","0",".279",".357",".355",".360"
"Adon, Joan","672851","2023","240",20,10,".284",".364","6.45","9","1","18","0",".278",".361",".358",".359"
"Senga, Kodai","673540","2023","694",29.1,11.1,".208",".301","2.98","11","0","27","0",".225",".282",".304",".316"
"Bradford, Cody","674003","2023","234",21.8,5.1,".259",".296","5.30","2","0","11","0",".244",".333",".323",".288"
"Henry, Tommy","674072","2023","381",16.8,9.2,".251",".328","4.15","10","1","18","0",".248",".324",".319",".325"
